ParentTermID,Count,Percent,ParentTermDescription,Ontology,EnrichedGOIDs,Term,Annotated,Significant,Expected,weightFisher,Class,GeneList,Contrast,Direction
GO:0023052,2,50,signaling,BP,GO:0032006,regulation of TOR signaling,7,2,0.11,0.0048,Biological_Process,"pdam_00003563,pdam_00011675",Wounded 2h vs Wounded 0h,Upregulated
GO:0023052,2,50,signaling,BP,GO:0016055,Wnt signaling pathway,48,3,0.75,0.038,Biological_Process,"pdam_00000638,pdam_00004901,pdam_00007134,pdam_00009451,pdam_00010344,pdam_00010345,pdam_00018857",Wounded 2h vs Wounded 0h,Upregulated
GO:0048856,1,25,anatomical structure development,BP,GO:0007275,multicellular organism development,79,6,1.23,0.0044,Biological_Process,"pdam_00000638,pdam_00001693,pdam_00002594,pdam_00002875,pdam_00004901,pdam_00005840,pdam_00006110,pdam_00008960,pdam_00010344,pdam_00010345,pdam_00014018,pdam_00019340",Wounded 2h vs Wounded 0h,Upregulated
GO:0065003,1,25,protein-containing complex assembly,BP,GO:0051260,protein homooligomerization,64,4,0.99,0.0171,Biological_Process,"pdam_00000410,pdam_00003505,pdam_00003506,pdam_00012526,pdam_00013462,pdam_00015960,pdam_00019542",Wounded 2h vs Wounded 0h,Upregulated
GO:0003824,2,25,catalytic activity,MF,GO:0004402,histone acetyltransferase activity,8,2,0.13,0.0067,Molecular_Function,"pdam_00020191,pdam_00022518",Wounded 2h vs Wounded 0h,Upregulated
GO:0003824,2,25,catalytic activity,MF,GO:0019787,ubiquitin-like protein transferase activity,98,4,1.57,0.0469,Molecular_Function,"pdam_00000163,pdam_00003015,pdam_00008393,pdam_00008969,pdam_00009070,pdam_00010556,pdam_00011995,pdam_00012014,pdam_00012736,pdam_00012958,pdam_00018857,pdam_00019450",Wounded 2h vs Wounded 0h,Upregulated
GO:0005215,1,12.5,transporter activity,MF,GO:0005319,lipid transporter activity,15,2,0.24,0.0234,Molecular_Function,"pdam_00004870,pdam_00006393",Wounded 2h vs Wounded 0h,Upregulated
GO:0008289,1,12.5,lipid binding,MF,GO:0035091,phosphatidylinositol binding,42,3,0.67,0.0295,Molecular_Function,"pdam_00002150,pdam_00003533,pdam_00004236,pdam_00004897,pdam_00014060,pdam_00014626,pdam_00019683,pdam_00022298",Wounded 2h vs Wounded 0h,Upregulated
GO:0016740,2,25,transferase activity,MF,GO:0004402,histone acetyltransferase activity,8,2,0.13,0.0067,Molecular_Function,"pdam_00020191,pdam_00022518",Wounded 2h vs Wounded 0h,Upregulated
GO:0016740,2,25,transferase activity,MF,GO:0019787,ubiquitin-like protein transferase activity,98,4,1.57,0.0469,Molecular_Function,"pdam_00000163,pdam_00003015,pdam_00008393,pdam_00008969,pdam_00009070,pdam_00010556,pdam_00011995,pdam_00012014,pdam_00012736,pdam_00012958,pdam_00018857,pdam_00019450",Wounded 2h vs Wounded 0h,Upregulated
GO:0140096,2,25,"catalytic activity, acting on a protein",MF,GO:0004402,histone acetyltransferase activity,8,2,0.13,0.0067,Molecular_Function,"pdam_00020191,pdam_00022518",Wounded 2h vs Wounded 0h,Upregulated
