ParentTermID,Count,Percent,ParentTermDescription,Ontology,EnrichedGOIDs,Term,Annotated,Significant,Expected,weightFisher,Class,GeneList,Contrast,Direction
GO:0000278,2,28.571428571428573,mitotic cell cycle,BP,GO:1901990,regulation of mitotic cell cycle phase transition,14,1,0.03,0.0271,Biological_Process,"pdam_00004204,pdam_00016097,pdam_00018900",Wounded 4h vs Control 4h,Upregulated
GO:0000278,2,28.571428571428573,mitotic cell cycle,BP,GO:0140014,mitotic nuclear division,18,1,0.04,0.0347,Biological_Process,pdam_00004204,Wounded 4h vs Control 4h,Upregulated
GO:0006520,1,14.285714285714286,amino acid metabolic process,BP,GO:0006541,glutamine metabolic process,9,1,0.02,0.0175,Biological_Process,"pdam_00005279,pdam_00011815,pdam_00018019",Wounded 4h vs Control 4h,Upregulated
GO:0006575,1,14.285714285714286,cellular modified amino acid metabolic process,BP,GO:0006751,glutathione catabolic process,13,1,0.03,0.0252,Biological_Process,"pdam_00023043,pdam_00023857",Wounded 4h vs Control 4h,Upregulated
GO:0006790,1,14.285714285714286,sulfur compound metabolic process,BP,GO:0006751,glutathione catabolic process,13,1,0.03,0.0252,Biological_Process,"pdam_00023043,pdam_00023857",Wounded 4h vs Control 4h,Upregulated
GO:0055086,1,14.285714285714286,nucleobase-containing small molecule metabolic process,BP,GO:0006207,'de novo' pyrimidine nucleobase biosynthetic process,7,1,0.01,0.0136,Biological_Process,pdam_00005279,Wounded 4h vs Control 4h,Upregulated
GO:0140014,1,14.285714285714286,mitotic nuclear division,BP,GO:0140014,mitotic nuclear division,18,1,0.04,0.0347,Biological_Process,pdam_00004204,Wounded 4h vs Control 4h,Upregulated
GO:0003824,4,33.333333333333336,catalytic activity,MF,GO:0016884,"carbon-nitrogen ligase activity, with glutamine as amido-N-donor",7,1,0.01,0.0147,Molecular_Function,"pdam_00005279,pdam_00018539",Wounded 4h vs Control 4h,Upregulated
GO:0003824,4,33.333333333333336,catalytic activity,MF,GO:0036374,glutathione hydrolase activity,11,1,0.02,0.023,Molecular_Function,"pdam_00023043,pdam_00023857",Wounded 4h vs Control 4h,Upregulated
GO:0003824,4,33.333333333333336,catalytic activity,MF,GO:0008138,protein tyrosine/serine/threonine phosphatase activity,19,1,0.04,0.0394,Molecular_Function,pdam_00004204,Wounded 4h vs Control 4h,Upregulated
GO:0003824,4,33.333333333333336,catalytic activity,MF,GO:0003993,acid phosphatase activity,20,1,0.04,0.0415,Molecular_Function,"pdam_00002106,pdam_00012400,pdam_00020200",Wounded 4h vs Control 4h,Upregulated
GO:0005198,1,8.333333333333334,structural molecule activity,MF,GO:0003735,structural constituent of ribosome,112,7,0.24,2.1e-9,Molecular_Function,"pdam_00000771,pdam_00001732,pdam_00002335,pdam_00003718,pdam_00003971,pdam_00007177,pdam_00007461,pdam_00007957,pdam_00008961,pdam_00013382,pdam_00015396,pdam_00015495,pdam_00016288,pdam_00017008",Wounded 4h vs Control 4h,Upregulated
GO:0016787,3,25,hydrolase activity,MF,GO:0036374,glutathione hydrolase activity,11,1,0.02,0.023,Molecular_Function,"pdam_00023043,pdam_00023857",Wounded 4h vs Control 4h,Upregulated
GO:0016787,3,25,hydrolase activity,MF,GO:0008138,protein tyrosine/serine/threonine phosphatase activity,19,1,0.04,0.0394,Molecular_Function,pdam_00004204,Wounded 4h vs Control 4h,Upregulated
GO:0016787,3,25,hydrolase activity,MF,GO:0003993,acid phosphatase activity,20,1,0.04,0.0415,Molecular_Function,"pdam_00002106,pdam_00012400,pdam_00020200",Wounded 4h vs Control 4h,Upregulated
GO:0016874,1,8.333333333333334,ligase activity,MF,GO:0016884,"carbon-nitrogen ligase activity, with glutamine as amido-N-donor",7,1,0.01,0.0147,Molecular_Function,"pdam_00005279,pdam_00018539",Wounded 4h vs Control 4h,Upregulated
GO:0038024,1,8.333333333333334,cargo receptor activity,MF,GO:0005044,scavenger receptor activity,52,2,0.11,0.0053,Molecular_Function,"pdam_00000104,pdam_00001007,pdam_00019991,pdam_00024190",Wounded 4h vs Control 4h,Upregulated
GO:0140096,2,16.666666666666668,"catalytic activity, acting on a protein",MF,GO:0036374,glutathione hydrolase activity,11,1,0.02,0.023,Molecular_Function,"pdam_00023043,pdam_00023857",Wounded 4h vs Control 4h,Upregulated
GO:0140096,2,16.666666666666668,"catalytic activity, acting on a protein",MF,GO:0008138,protein tyrosine/serine/threonine phosphatase activity,19,1,0.04,0.0394,Molecular_Function,pdam_00004204,Wounded 4h vs Control 4h,Upregulated
GO:0005840,2,50,ribosome,CC,GO:0005840,ribosome,112,7,0.51,9.8e-6,Cellular_Component,"pdam_00000771,pdam_00001732,pdam_00002335,pdam_00003718,pdam_00003971,pdam_00007177,pdam_00007461,pdam_00007957,pdam_00008961,pdam_00013382,pdam_00015396,pdam_00015495,pdam_00017008",Wounded 4h vs Control 4h,Upregulated
GO:0005840,2,50,ribosome,CC,GO:0015934,large ribosomal subunit,10,2,0.05,8.3e-4,Cellular_Component,"pdam_00000771,pdam_00007177,pdam_00008961",Wounded 4h vs Control 4h,Upregulated
GO:0043226,2,50,organelle,CC,GO:0005840,ribosome,112,7,0.51,9.8e-6,Cellular_Component,"pdam_00000771,pdam_00001732,pdam_00002335,pdam_00003718,pdam_00003971,pdam_00007177,pdam_00007461,pdam_00007957,pdam_00008961,pdam_00013382,pdam_00015396,pdam_00015495,pdam_00017008",Wounded 4h vs Control 4h,Upregulated
GO:0043226,2,50,organelle,CC,GO:0015934,large ribosomal subunit,10,2,0.05,8.3e-4,Cellular_Component,"pdam_00000771,pdam_00007177,pdam_00008961",Wounded 4h vs Control 4h,Upregulated
NA,NA,NA,NA,BP,GO:0006412,translation,182,7,0.36,1.6e-8,Biological_Process,"pdam_00000771,pdam_00001657,pdam_00001732,pdam_00002335,pdam_00003718,pdam_00003971,pdam_00007177,pdam_00007461,pdam_00007957,pdam_00008961,pdam_00013382,pdam_00015396,pdam_00015495,pdam_00016288,pdam_00017008,pdam_00021028",Wounded 4h vs Control 4h,Upregulated
NA,NA,NA,NA,BP,GO:0006879,intracellular iron ion homeostasis,5,1,0.01,0.0098,Biological_Process,"pdam_00012802,pdam_00015929",Wounded 4h vs Control 4h,Upregulated
NA,NA,NA,NA,BP,GO:0006826,iron ion transport,6,1,0.01,0.0117,Biological_Process,"pdam_00012802,pdam_00015929",Wounded 4h vs Control 4h,Upregulated
GO:0006575,1,25,cellular modified amino acid metabolic process,BP,GO:0046653,tetrahydrofolate metabolic process,5,1,0.01,0.014,Biological_Process,pdam_00003300,Wounded 4h vs Control 4h,Downregulated
GO:0006629,1,25,lipid metabolic process,BP,GO:0016125,sterol metabolic process,6,1,0.02,0.017,Biological_Process,pdam_00008222,Wounded 4h vs Control 4h,Downregulated
GO:0055086,1,25,nucleobase-containing small molecule metabolic process,BP,GO:0006182,cGMP biosynthetic process,12,1,0.03,0.034,Biological_Process,pdam_00007934,Wounded 4h vs Control 4h,Downregulated
GO:1901135,1,25,carbohydrate derivative metabolic process,BP,GO:0006182,cGMP biosynthetic process,12,1,0.03,0.034,Biological_Process,pdam_00007934,Wounded 4h vs Control 4h,Downregulated
GO:0003677,1,4.761904761904762,DNA binding,MF,GO:0003697,single-stranded DNA binding,11,1,0.03,0.025,Molecular_Function,"pdam_00006440,pdam_00015412",Wounded 4h vs Control 4h,Downregulated
GO:0003824,8,38.095238095238095,catalytic activity,MF,GO:0004659,prenyltransferase activity,6,1,0.01,0.014,Molecular_Function,"pdam_00013840,pdam_00017495",Wounded 4h vs Control 4h,Downregulated
GO:0003824,8,38.095238095238095,catalytic activity,MF,GO:0016715,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen",8,1,0.02,0.018,Molecular_Function,pdam_00001465,Wounded 4h vs Control 4h,Downregulated
GO:0003824,8,38.095238095238095,catalytic activity,MF,GO:0009982,pseudouridine synthase activity,8,1,0.02,0.018,Molecular_Function,"pdam_00003704,pdam_00016713",Wounded 4h vs Control 4h,Downregulated
GO:0003824,8,38.095238095238095,catalytic activity,MF,GO:0016742,"hydroxymethyl-, formyl- and related transferase activity",10,1,0.02,0.023,Molecular_Function,"pdam_00003300,pdam_00010140",Wounded 4h vs Control 4h,Downregulated
GO:0003824,8,38.095238095238095,catalytic activity,MF,GO:0016860,intramolecular oxidoreductase activity,10,1,0.02,0.023,Molecular_Function,"pdam_00008222,pdam_00016018",Wounded 4h vs Control 4h,Downregulated
GO:0003824,8,38.095238095238095,catalytic activity,MF,GO:0016646,"oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor",11,1,0.03,0.025,Molecular_Function,pdam_00003300,Wounded 4h vs Control 4h,Downregulated
GO:0003824,8,38.095238095238095,catalytic activity,MF,GO:0004383,guanylate cyclase activity,12,1,0.03,0.027,Molecular_Function,pdam_00007934,Wounded 4h vs Control 4h,Downregulated
GO:0003824,8,38.095238095238095,catalytic activity,MF,GO:0016887,ATP hydrolysis activity,113,2,0.26,0.028,Molecular_Function,"pdam_00000330,pdam_00002224,pdam_00003988,pdam_00005508,pdam_00010256,pdam_00011811,pdam_00012274,pdam_00014319,pdam_00015146,pdam_00015149,pdam_00015392,pdam_00019450,pdam_00021589",Wounded 4h vs Control 4h,Downregulated
GO:0005215,1,4.761904761904762,transporter activity,MF,GO:0042626,ATPase-coupled transmembrane transporter activity,74,2,0.17,0.012,Molecular_Function,"pdam_00001681,pdam_00002224,pdam_00002790,pdam_00007061,pdam_00011811,pdam_00014319,pdam_00015392,pdam_00021589",Wounded 4h vs Control 4h,Downregulated
GO:0009975,1,4.761904761904762,cyclase activity,MF,GO:0004383,guanylate cyclase activity,12,1,0.03,0.027,Molecular_Function,pdam_00007934,Wounded 4h vs Control 4h,Downregulated
GO:0016491,2,9.523809523809524,oxidoreductase activity,MF,GO:0016715,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen",8,1,0.02,0.018,Molecular_Function,pdam_00001465,Wounded 4h vs Control 4h,Downregulated
GO:0016491,2,9.523809523809524,oxidoreductase activity,MF,GO:0016646,"oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor",11,1,0.03,0.025,Molecular_Function,pdam_00003300,Wounded 4h vs Control 4h,Downregulated
GO:0016740,2,9.523809523809524,transferase activity,MF,GO:0004659,prenyltransferase activity,6,1,0.01,0.014,Molecular_Function,"pdam_00013840,pdam_00017495",Wounded 4h vs Control 4h,Downregulated
GO:0016740,2,9.523809523809524,transferase activity,MF,GO:0016742,"hydroxymethyl-, formyl- and related transferase activity",10,1,0.02,0.023,Molecular_Function,"pdam_00003300,pdam_00010140",Wounded 4h vs Control 4h,Downregulated
GO:0016787,1,4.761904761904762,hydrolase activity,MF,GO:0016887,ATP hydrolysis activity,113,2,0.26,0.028,Molecular_Function,"pdam_00000330,pdam_00002224,pdam_00003988,pdam_00005508,pdam_00010256,pdam_00011811,pdam_00012274,pdam_00014319,pdam_00015146,pdam_00015149,pdam_00015392,pdam_00019450,pdam_00021589",Wounded 4h vs Control 4h,Downregulated
GO:0016829,1,4.761904761904762,lyase activity,MF,GO:0004383,guanylate cyclase activity,12,1,0.03,0.027,Molecular_Function,pdam_00007934,Wounded 4h vs Control 4h,Downregulated
GO:0016853,2,9.523809523809524,isomerase activity,MF,GO:0009982,pseudouridine synthase activity,8,1,0.02,0.018,Molecular_Function,"pdam_00003704,pdam_00016713",Wounded 4h vs Control 4h,Downregulated
GO:0016853,2,9.523809523809524,isomerase activity,MF,GO:0016860,intramolecular oxidoreductase activity,10,1,0.02,0.023,Molecular_Function,"pdam_00008222,pdam_00016018",Wounded 4h vs Control 4h,Downregulated
GO:0140657,2,9.523809523809524,ATP-dependent activity,MF,GO:0042626,ATPase-coupled transmembrane transporter activity,74,2,0.17,0.012,Molecular_Function,"pdam_00001681,pdam_00002224,pdam_00002790,pdam_00007061,pdam_00011811,pdam_00014319,pdam_00015392,pdam_00021589",Wounded 4h vs Control 4h,Downregulated
GO:0140657,2,9.523809523809524,ATP-dependent activity,MF,GO:0016887,ATP hydrolysis activity,113,2,0.26,0.028,Molecular_Function,"pdam_00000330,pdam_00002224,pdam_00003988,pdam_00005508,pdam_00010256,pdam_00011811,pdam_00012274,pdam_00014319,pdam_00015146,pdam_00015149,pdam_00015392,pdam_00019450,pdam_00021589",Wounded 4h vs Control 4h,Downregulated
GO:0005739,1,25,mitochondrion,CC,GO:0005740,mitochondrial envelope,38,2,0.19,0.014,Cellular_Component,"pdam_00003431,pdam_00013840,pdam_00015392,pdam_00015455,pdam_00018049,pdam_00021589",Wounded 4h vs Control 4h,Downregulated
GO:0005856,1,25,cytoskeleton,CC,GO:0005868,cytoplasmic dynein complex,6,1,0.03,0.029,Cellular_Component,pdam_00015293,Wounded 4h vs Control 4h,Downregulated
GO:0043226,2,50,organelle,CC,GO:0005740,mitochondrial envelope,38,2,0.19,0.014,Cellular_Component,"pdam_00003431,pdam_00013840,pdam_00015392,pdam_00015455,pdam_00018049,pdam_00021589",Wounded 4h vs Control 4h,Downregulated
GO:0043226,2,50,organelle,CC,GO:0005868,cytoplasmic dynein complex,6,1,0.03,0.029,Cellular_Component,pdam_00015293,Wounded 4h vs Control 4h,Downregulated
NA,NA,NA,NA,MF,GO:1901681,sulfur compound binding,17,1,0.04,0.038,Molecular_Function,"pdam_00003477,pdam_00004325,pdam_00007397",Wounded 4h vs Control 4h,Downregulated
NA,NA,NA,NA,BP,GO:0018342,protein prenylation,6,1,0.02,0.017,Biological_Process,pdam_00017495,Wounded 4h vs Control 4h,Downregulated
NA,NA,NA,NA,BP,GO:0007034,vacuolar transport,10,1,0.03,0.028,Biological_Process,"pdam_00013327,pdam_00019561",Wounded 4h vs Control 4h,Downregulated
NA,NA,NA,NA,BP,GO:0043648,dicarboxylic acid metabolic process,10,1,0.03,0.028,Biological_Process,pdam_00003300,Wounded 4h vs Control 4h,Downregulated
NA,NA,NA,NA,BP,GO:0001522,pseudouridine synthesis,11,1,0.03,0.031,Biological_Process,"pdam_00003704,pdam_00016713",Wounded 4h vs Control 4h,Downregulated
