ParentTermID,Count,Percent,ParentTermDescription,Ontology,EnrichedGOIDs,Term,Annotated,Significant,Expected,weightFisher,Class,GeneList,Contrast,Direction
GO:0006520,1,14.285714285714286,amino acid metabolic process,BP,GO:0006541,glutamine metabolic process,9,2,0.18,0.013,Biological_Process,"pdam_00005279,pdam_00011815,pdam_00018019",Wounded 4h vs Wounded 0h,Upregulated
GO:0007018,1,14.285714285714286,microtubule-based movement,BP,GO:0007018,microtubule-based movement,77,6,1.54,0.013,Biological_Process,"pdam_00000330,pdam_00003988,pdam_00005508,pdam_00008126,pdam_00015293,pdam_00017282,pdam_00018049,pdam_00019081,pdam_00021088",Wounded 4h vs Wounded 0h,Upregulated
GO:0023052,2,28.571428571428573,signaling,BP,GO:0016055,Wnt signaling pathway,48,4,0.96,0.015,Biological_Process,"pdam_00000638,pdam_00004901,pdam_00007134,pdam_00009451,pdam_00010344,pdam_00010345,pdam_00018857",Wounded 4h vs Wounded 0h,Upregulated
GO:0023052,2,28.571428571428573,signaling,BP,GO:0009968,negative regulation of signal transduction,15,2,0.3,0.035,Biological_Process,"pdam_00000510,pdam_00003563,pdam_00004901",Wounded 4h vs Wounded 0h,Upregulated
GO:0030154,1,14.285714285714286,cell differentiation,BP,GO:0031175,neuron projection development,9,2,0.18,0.013,Biological_Process,"pdam_00001693,pdam_00002594",Wounded 4h vs Wounded 0h,Upregulated
GO:0048856,1,14.285714285714286,anatomical structure development,BP,GO:0031175,neuron projection development,9,2,0.18,0.013,Biological_Process,"pdam_00001693,pdam_00002594",Wounded 4h vs Wounded 0h,Upregulated
GO:0055085,1,14.285714285714286,transmembrane transport,BP,GO:0003333,amino acid transmembrane transport,15,2,0.3,0.035,Biological_Process,"pdam_00004195,pdam_00012073,pdam_00013416,pdam_00013420",Wounded 4h vs Wounded 0h,Upregulated
GO:0003774,1,8.333333333333334,cytoskeletal motor activity,MF,GO:0003777,microtubule motor activity,67,6,1.45,0.00317,Molecular_Function,"pdam_00000330,pdam_00003988,pdam_00005508,pdam_00008126,pdam_00017282,pdam_00019081,pdam_00021088",Wounded 4h vs Wounded 0h,Upregulated
GO:0003824,3,25,catalytic activity,MF,GO:0004252,serine-type endopeptidase activity,102,16,2.2,4.8e-10,Molecular_Function,"pdam_00002138,pdam_00004725,pdam_00005565,pdam_00005566,pdam_00008709,pdam_00009414,pdam_00009504,pdam_00011234,pdam_00016091,pdam_00016092,pdam_00016094,pdam_00016095,pdam_00017946,pdam_00019791,pdam_00019991,pdam_00020697,pdam_00021239,pdam_00022018",Wounded 4h vs Wounded 0h,Upregulated
GO:0003824,3,25,catalytic activity,MF,GO:0016887,ATP hydrolysis activity,113,9,2.44,7.4e-4,Molecular_Function,"pdam_00000330,pdam_00002224,pdam_00003988,pdam_00005508,pdam_00010256,pdam_00011811,pdam_00012274,pdam_00014319,pdam_00015146,pdam_00015149,pdam_00015392,pdam_00019450,pdam_00021589",Wounded 4h vs Wounded 0h,Upregulated
GO:0003824,3,25,catalytic activity,MF,GO:0004222,metalloendopeptidase activity,139,9,3,0.00316,Molecular_Function,"pdam_00001159,pdam_00002461,pdam_00003566,pdam_00003613,pdam_00004269,pdam_00004907,pdam_00008001,pdam_00009262,pdam_00012255,pdam_00013185,pdam_00014407,pdam_00016089",Wounded 4h vs Wounded 0h,Upregulated
