ParentTermID,Count,Percent,ParentTermDescription,Ontology,EnrichedGOIDs,Term,Annotated,Significant,Expected,weightFisher,Class,GeneList,Cluster
GO:0006886,1,50,intracellular protein transport,BP,GO:0006886,intracellular protein transport,79,3,0.56,0.018,Biological_Process,"pdam_00002624,pdam_00003082,pdam_00003809,pdam_00009291,pdam_00013177,pdam_00013922,pdam_00015455,pdam_00021033,pdam_00022873",Cluster_1
GO:0055086,1,50,nucleobase-containing small molecule metabolic process,BP,GO:0006739,NADP metabolic process,6,1,0.04,0.042,Biological_Process,"pdam_00003200,pdam_00006654",Cluster_1
GO:0003824,4,23.529411764705884,catalytic activity,MF,GO:0019787,ubiquitin-like protein transferase activity,98,3,0.56,0.0165,Molecular_Function,"pdam_00000163,pdam_00003015,pdam_00008393,pdam_00008969,pdam_00009070,pdam_00010556,pdam_00011995,pdam_00012014,pdam_00012736,pdam_00012958,pdam_00018857,pdam_00019450",Cluster_1
GO:0003824,4,23.529411764705884,catalytic activity,MF,GO:0004609,phosphatidylserine decarboxylase activity,5,1,0.03,0.028,Molecular_Function,pdam_00022072,Cluster_1
GO:0003824,4,23.529411764705884,catalytic activity,MF,GO:0016780,"phosphotransferase activity, for other substituted phosphate groups",7,1,0.04,0.039,Molecular_Function,pdam_00007144,Cluster_1
GO:0003824,4,23.529411764705884,catalytic activity,MF,GO:0009982,pseudouridine synthase activity,8,1,0.05,0.0444,Molecular_Function,"pdam_00003704,pdam_00016713",Cluster_1
GO:0005215,3,17.647058823529413,transporter activity,MF,GO:0005319,lipid transporter activity,15,2,0.08,0.0032,Molecular_Function,"pdam_00004870,pdam_00006393",Cluster_1
GO:0005215,3,17.647058823529413,transporter activity,MF,GO:0046961,"proton-transporting ATPase activity, rotational mechanism",5,1,0.03,0.028,Molecular_Function,"pdam_00002790,pdam_00007061",Cluster_1
GO:0005215,3,17.647058823529413,transporter activity,MF,GO:0015144,carbohydrate transmembrane transporter activity,7,1,0.04,0.039,Molecular_Function,pdam_00003377,Cluster_1
GO:0008289,1,5.882352941176471,lipid binding,MF,GO:0035091,phosphatidylinositol binding,42,2,0.24,0.0235,Molecular_Function,"pdam_00002150,pdam_00003533,pdam_00004236,pdam_00004897,pdam_00014060,pdam_00014626,pdam_00019683,pdam_00022298",Cluster_1
GO:0016740,2,11.764705882352942,transferase activity,MF,GO:0019787,ubiquitin-like protein transferase activity,98,3,0.56,0.0165,Molecular_Function,"pdam_00000163,pdam_00003015,pdam_00008393,pdam_00008969,pdam_00009070,pdam_00010556,pdam_00011995,pdam_00012014,pdam_00012736,pdam_00012958,pdam_00018857,pdam_00019450",Cluster_1
GO:0016740,2,11.764705882352942,transferase activity,MF,GO:0016780,"phosphotransferase activity, for other substituted phosphate groups",7,1,0.04,0.039,Molecular_Function,pdam_00007144,Cluster_1
GO:0016829,1,5.882352941176471,lyase activity,MF,GO:0004609,phosphatidylserine decarboxylase activity,5,1,0.03,0.028,Molecular_Function,pdam_00022072,Cluster_1
GO:0016853,1,5.882352941176471,isomerase activity,MF,GO:0009982,pseudouridine synthase activity,8,1,0.05,0.0444,Molecular_Function,"pdam_00003704,pdam_00016713",Cluster_1
GO:0048018,1,5.882352941176471,receptor ligand activity,MF,GO:0008083,growth factor activity,43,2,0.24,0.0246,Molecular_Function,"pdam_00000700,pdam_00001687,pdam_00004325,pdam_00012101,pdam_00013810,pdam_00019706",Cluster_1
GO:0060090,1,5.882352941176471,molecular adaptor activity,MF,GO:0005484,SNAP receptor activity,5,1,0.03,0.028,Molecular_Function,pdam_00003809,Cluster_1
GO:0098772,1,5.882352941176471,molecular function regulator activity,MF,GO:0008083,growth factor activity,43,2,0.24,0.0246,Molecular_Function,"pdam_00000700,pdam_00001687,pdam_00004325,pdam_00012101,pdam_00013810,pdam_00019706",Cluster_1
GO:0140096,1,5.882352941176471,"catalytic activity, acting on a protein",MF,GO:0019787,ubiquitin-like protein transferase activity,98,3,0.56,0.0165,Molecular_Function,"pdam_00000163,pdam_00003015,pdam_00008393,pdam_00008969,pdam_00009070,pdam_00010556,pdam_00011995,pdam_00012014,pdam_00012736,pdam_00012958,pdam_00018857,pdam_00019450",Cluster_1
GO:0140657,1,5.882352941176471,ATP-dependent activity,MF,GO:0046961,"proton-transporting ATPase activity, rotational mechanism",5,1,0.03,0.028,Molecular_Function,"pdam_00002790,pdam_00007061",Cluster_1
GO:0005634,1,12.5,nucleus,CC,GO:0043240,Fanconi anaemia nuclear complex,5,1,0.04,0.039,Cellular_Component,"pdam_00012014,pdam_00013314,pdam_00019802",Cluster_1
GO:0005694,1,12.5,chromosome,CC,GO:0000808,origin recognition complex,5,1,0.04,0.039,Cellular_Component,"pdam_00004440,pdam_00022146",Cluster_1
GO:0005773,1,12.5,vacuole,CC,GO:0000323,lytic vacuole,5,1,0.04,0.039,Cellular_Component,pdam_00003377,Cluster_1
GO:0005856,1,12.5,cytoskeleton,CC,GO:0070652,HAUS complex,6,1,0.05,0.047,Cellular_Component,pdam_00012697,Cluster_1
GO:0043226,4,50,organelle,CC,GO:0043240,Fanconi anaemia nuclear complex,5,1,0.04,0.039,Cellular_Component,"pdam_00012014,pdam_00013314,pdam_00019802",Cluster_1
GO:0043226,4,50,organelle,CC,GO:0000808,origin recognition complex,5,1,0.04,0.039,Cellular_Component,"pdam_00004440,pdam_00022146",Cluster_1
GO:0043226,4,50,organelle,CC,GO:0000323,lytic vacuole,5,1,0.04,0.039,Cellular_Component,pdam_00003377,Cluster_1
GO:0043226,4,50,organelle,CC,GO:0070652,HAUS complex,6,1,0.05,0.047,Cellular_Component,pdam_00012697,Cluster_1
NA,NA,NA,NA,MF,GO:0042802,identical protein binding,5,1,0.03,0.028,Molecular_Function,"pdam_00002224,pdam_00010155",Cluster_1
NA,NA,NA,NA,MF,GO:0097367,carbohydrate derivative binding,1248,6,7.07,0.0306,Molecular_Function,"pdam_00000330,pdam_00000381,pdam_00000555,pdam_00000968,pdam_00001122,pdam_00001459,pdam_00001657,pdam_00002224,pdam_00002427,pdam_00002685,pdam_00002687,pdam_00002942,pdam_00003180,pdam_00003190,pdam_00003283,pdam_00003477,pdam_00003595,pdam_00003988,pdam_00004048,pdam_00004325,pdam_00004810,pdam_00005080,pdam_00005279,pdam_00005282,pdam_00005508,pdam_00005595,pdam_00005993,pdam_00006144,pdam_00006393,pdam_00006836,pdam_00007170,pdam_00007197,pdam_00007239,pdam_00007357,pdam_00007557,pdam_00007559,pdam_00007846,pdam_00007934,pdam_00007997,pdam_00008063,pdam_00008126,pdam_00008237,pdam_00008622,pdam_00009108,pdam_00009135,pdam_00009230,pdam_00009328,pdam_00009942,pdam_00010024,pdam_00010141,pdam_00010256,pdam_00010352,pdam_00010796,pdam_00011811,pdam_00012274,pdam_00012359,pdam_00012672,pdam_00012938,pdam_00012973,pdam_00013286,pdam_00013325,pdam_00013583,pdam_00013623,pdam_00013934,pdam_00013972,pdam_00013982,pdam_00014319,pdam_00014942,pdam_00014990,pdam_00015146,pdam_00015149,pdam_00015181,pdam_00015392,pdam_00015395,pdam_00015822,pdam_00016363,pdam_00016414,pdam_00016544,pdam_00016982,pdam_00017201,pdam_00017282,pdam_00017438,pdam_00017888,pdam_00018065,pdam_00018076,pdam_00018162,pdam_00018536,pdam_00018857,pdam_00019081,pdam_00019315,pdam_00019801,pdam_00020004,pdam_00020065,pdam_00020381,pdam_00020536,pdam_00020694,pdam_00020926,pdam_00020983,pdam_00021028,pdam_00021088,pdam_00021135,pdam_00021474,pdam_00021589,pdam_00021919,pdam_00022296,pdam_00022471,pdam_00023199,pdam_00023206,pdam_00023832,pdam_00024153,pdam_00024291,pdam_00024862,pdam_00024863,pdam_00025545",Cluster_1
NA,NA,NA,NA,CC,GO:0033180,"proton-transporting V-type ATPase, V1 domain",5,1,0.04,0.039,Cellular_Component,pdam_00007061,Cluster_1
NA,NA,NA,NA,BP,GO:0006869,lipid transport,40,2,0.28,0.032,Biological_Process,"pdam_00002224,pdam_00002778,pdam_00004870,pdam_00006393",Cluster_1
NA,NA,NA,NA,BP,GO:0007064,mitotic sister chromatid cohesion,5,1,0.04,0.035,Biological_Process,pdam_00000064,Cluster_1
NA,NA,NA,NA,BP,GO:1901264,carbohydrate derivative transport,6,1,0.04,0.042,Biological_Process,pdam_00006393,Cluster_1
NA,NA,NA,NA,BP,GO:0051650,establishment of vesicle localization,6,1,0.04,0.042,Biological_Process,"pdam_00010155,pdam_00021088",Cluster_1
GO:0007010,1,25,cytoskeleton organization,BP,GO:0034453,microtubule anchoring,5,1,0.02,0.023,Biological_Process,pdam_00010105,Cluster_2
GO:0023052,1,25,signaling,BP,GO:0032006,regulation of TOR signaling,7,1,0.03,0.032,Biological_Process,"pdam_00003563,pdam_00011675",Cluster_2
GO:0030154,1,25,cell differentiation,BP,GO:0031175,neuron projection development,9,1,0.04,0.041,Biological_Process,"pdam_00001693,pdam_00002594",Cluster_2
GO:0048856,1,25,anatomical structure development,BP,GO:0031175,neuron projection development,9,1,0.04,0.041,Biological_Process,"pdam_00001693,pdam_00002594",Cluster_2
GO:0003824,4,30.76923076923077,catalytic activity,MF,GO:0004252,serine-type endopeptidase activity,102,3,0.56,0.01822,Molecular_Function,"pdam_00002138,pdam_00004725,pdam_00005565,pdam_00005566,pdam_00008709,pdam_00009414,pdam_00009504,pdam_00011234,pdam_00016091,pdam_00016092,pdam_00016094,pdam_00016095,pdam_00017946,pdam_00019791,pdam_00019991,pdam_00020697,pdam_00021239,pdam_00022018",Cluster_2
GO:0003824,4,30.76923076923077,catalytic activity,MF,GO:0004435,phosphatidylinositol phospholipase C activity,6,1,0.03,0.0324,Molecular_Function,pdam_00015403,Cluster_2
GO:0003824,4,30.76923076923077,catalytic activity,MF,GO:0002161,aminoacyl-tRNA editing activity,6,1,0.03,0.0324,Molecular_Function,pdam_00001657,Cluster_2
GO:0003824,4,30.76923076923077,catalytic activity,MF,GO:0004096,catalase activity,7,1,0.04,0.0377,Molecular_Function,pdam_00009723,Cluster_2
GO:0005198,1,7.6923076923076925,structural molecule activity,MF,GO:0005201,extracellular matrix structural constituent,93,3,0.51,0.01425,Molecular_Function,"pdam_00002219,pdam_00005882,pdam_00013711,pdam_00014806",Cluster_2
GO:0008092,1,7.6923076923076925,cytoskeletal protein binding,MF,GO:0008017,microtubule binding,65,4,0.36,4.3e-4,Molecular_Function,"pdam_00002594,pdam_00003711,pdam_00008126,pdam_00010105,pdam_00014658,pdam_00017282,pdam_00019081,pdam_00021088,pdam_00024503",Cluster_2
GO:0016209,1,7.6923076923076925,antioxidant activity,MF,GO:0004096,catalase activity,7,1,0.04,0.0377,Molecular_Function,pdam_00009723,Cluster_2
GO:0016491,1,7.6923076923076925,oxidoreductase activity,MF,GO:0004096,catalase activity,7,1,0.04,0.0377,Molecular_Function,pdam_00009723,Cluster_2
GO:0016787,3,23.076923076923077,hydrolase activity,MF,GO:0004252,serine-type endopeptidase activity,102,3,0.56,0.01822,Molecular_Function,"pdam_00002138,pdam_00004725,pdam_00005565,pdam_00005566,pdam_00008709,pdam_00009414,pdam_00009504,pdam_00011234,pdam_00016091,pdam_00016092,pdam_00016094,pdam_00016095,pdam_00017946,pdam_00019791,pdam_00019991,pdam_00020697,pdam_00021239,pdam_00022018",Cluster_2
GO:0016787,3,23.076923076923077,hydrolase activity,MF,GO:0004435,phosphatidylinositol phospholipase C activity,6,1,0.03,0.0324,Molecular_Function,pdam_00015403,Cluster_2
GO:0016787,3,23.076923076923077,hydrolase activity,MF,GO:0002161,aminoacyl-tRNA editing activity,6,1,0.03,0.0324,Molecular_Function,pdam_00001657,Cluster_2
GO:0140096,1,7.6923076923076925,"catalytic activity, acting on a protein",MF,GO:0004252,serine-type endopeptidase activity,102,3,0.56,0.01822,Molecular_Function,"pdam_00002138,pdam_00004725,pdam_00005565,pdam_00005566,pdam_00008709,pdam_00009414,pdam_00009504,pdam_00011234,pdam_00016091,pdam_00016092,pdam_00016094,pdam_00016095,pdam_00017946,pdam_00019791,pdam_00019991,pdam_00020697,pdam_00021239,pdam_00022018",Cluster_2
GO:0140098,1,7.6923076923076925,"catalytic activity, acting on RNA",MF,GO:0002161,aminoacyl-tRNA editing activity,6,1,0.03,0.0324,Molecular_Function,pdam_00001657,Cluster_2
NA,NA,NA,NA,MF,GO:0051087,protein-folding chaperone binding,7,1,0.04,0.0377,Molecular_Function,pdam_00018352,Cluster_2
NA,NA,NA,NA,MF,GO:0005516,calmodulin binding,8,1,0.04,0.04297,Molecular_Function,"pdam_00000381,pdam_00002594",Cluster_2
NA,NA,NA,NA,MF,GO:0019901,protein kinase binding,8,1,0.04,0.04297,Molecular_Function,pdam_00010615,Cluster_2
NA,NA,NA,NA,BP,GO:0006879,intracellular iron ion homeostasis,5,1,0.02,0.023,Biological_Process,"pdam_00012802,pdam_00015929",Cluster_2
NA,NA,NA,NA,BP,GO:0006826,iron ion transport,6,1,0.03,0.028,Biological_Process,"pdam_00012802,pdam_00015929",Cluster_2
NA,NA,NA,NA,BP,GO:0008285,negative regulation of cell population proliferation,7,1,0.03,0.032,Biological_Process,pdam_00003563,Cluster_2
