"genes","cluster","intersection_group"
"pdam_00025545",15,"Wounded 1h and Wounded 2h"
"pdam_00005768",15,"Wounded 1h and Wounded 2h"
"pdam_00014917",15,"Wounded 1h and Wounded 2h"
"pdam_00000529",21,"Wounded 1h"
"pdam_00019365",22,"Wounded 1h"
"pdam_00018734",24,"Wounded 1h and Wounded 2h"
"pdam_00019602",21,"Wounded 1h"
"pdam_00008722",15,"Wounded 1h and Wounded 2h"
"pdam_00022471",24,"Wounded 1h and Wounded 2h"
"pdam_00016495",15,"Wounded 1h"
"pdam_00006425",24,"Wounded 1h and Wounded 2h"
"pdam_00019569",15,"All time points"
"pdam_00012973",15,"Wounded 1h and Wounded 2h"
"pdam_00025487",15,"Wounded 1h and Wounded 2h"
"pdam_00009441",15,"Wounded 1h and Wounded 2h"
"pdam_00015455",15,"Wounded 1h and Wounded 2h"
"pdam_00018127",15,"Wounded 1h and Wounded 2h"
"pdam_00015787",24,"Wounded 1h and Wounded 2h"
"pdam_00007061",15,"All time points"
"pdam_00016714",15,"Wounded 1h"
"pdam_00024567",15,"Wounded 1h and Wounded 2h"
"pdam_00009027",15,"Wounded 1h and Wounded 2h"
"pdam_00012255",15,"Wounded 2h"
"pdam_00018352",21,"Wounded 2h and Wounded 4h"
"pdam_00008152",15,"Wounded 2h"
"pdam_00018214",24,"Wounded 2h"
"pdam_00015192",24,"Wounded 2h"
"pdam_00021257",24,"Wounded 2h"
"pdam_00020375",24,"Wounded 2h"
"pdam_00013566",24,"Wounded 2h"
"pdam_00022671",15,"Wounded 2h"
"pdam_00025999",15,"Wounded 2h"
"pdam_00006682",24,"Wounded 2h"
"pdam_00025760",24,"Wounded 2h"
"pdam_00013177",15,"Wounded 2h"
"pdam_00004803",15,"Wounded 2h"
"pdam_00004842",24,"Wounded 2h"
"pdam_00023084",24,"Wounded 2h"
"pdam_00025728",22,"Wounded 2h and Wounded 4h"
"pdam_00015861",15,"Wounded 2h"
"pdam_00003718",24,"Wounded 2h"
"pdam_00003711",15,"Wounded 2h"
"pdam_00003714",24,"Wounded 2h"
"pdam_00017267",15,"Wounded 2h"
"pdam_00008960",15,"Wounded 2h"
"pdam_00008986",24,"Wounded 2h"
"pdam_00019292",24,"Wounded 2h"
"pdam_00000410",15,"Wounded 2h"
"pdam_00008076",15,"Wounded 2h"
"pdam_00012668",24,"Wounded 2h"
"pdam_00023102",15,"Wounded 2h"
"pdam_00008452",15,"Wounded 2h"
"pdam_00017479",24,"Wounded 2h"
"pdam_00023812",15,"Wounded 2h"
"pdam_00012101",15,"Wounded 2h"
"pdam_00005815",15,"Wounded 2h"
"pdam_00003402",24,"Wounded 2h"
"pdam_00003408",24,"Wounded 2h"
"pdam_00003377",15,"Wounded 2h"
"pdam_00018541",24,"Wounded 2h"
"pdam_00012041",15,"Wounded 2h"
"pdam_00017339",24,"Wounded 2h"
"pdam_00008395",24,"Wounded 2h"
"pdam_00001610",24,"Wounded 2h"
"pdam_00013395",15,"Wounded 2h"
"pdam_00016428",24,"Wounded 2h"
"pdam_00003491",24,"Wounded 2h"
"pdam_00026034",15,"Wounded 2h"
"pdam_00017834",15,"Wounded 2h"
"pdam_00010658",24,"Wounded 2h"
"pdam_00023723",15,"Wounded 2h"
"pdam_00000728",24,"Wounded 2h"
"pdam_00012368",15,"Wounded 2h"
"pdam_00003219",24,"Wounded 2h"
"pdam_00003200",15,"Wounded 2h"
"pdam_00004277",15,"Wounded 2h"
"pdam_00006314",24,"Wounded 2h"
"pdam_00020188",15,"Wounded 2h"
"pdam_00020184",15,"Wounded 2h"
"pdam_00018162",15,"Wounded 2h"
"pdam_00002117",15,"Wounded 2h"
"pdam_00002138",15,"Wounded 2h"
"pdam_00015009",24,"Wounded 2h"
"pdam_00010155",15,"Wounded 2h"
"pdam_00000646",24,"Wounded 2h"
"pdam_00003809",15,"Wounded 2h"
"pdam_00021366",15,"Wounded 2h"
"pdam_00022072",15,"Wounded 2h"
"pdam_00000064",15,"Wounded 2h"
"pdam_00000163",15,"Wounded 2h"
"pdam_00005368",15,"Wounded 2h"
"pdam_00014060",15,"Wounded 2h"
"pdam_00007394",15,"Wounded 2h"
"pdam_00019032",15,"Wounded 2h"
"pdam_00025854",24,"Wounded 2h"
