sample,hour0_control,hour0_wounded,hour1_control,hour1_wounded,hour2_control,hour2_wounded,hour4_control,hour4_wounded
h0_C1,1,0,0,0,0,0,0,0
h0_C2,1,0,0,0,0,0,0,0
h0_C3,1,0,0,0,0,0,0,0
h0_X,0,1,0,0,0,0,0,0
h0_Y,0,1,0,0,0,0,0,0
h0_Z,0,1,0,0,0,0,0,0
h1_C1,0,0,1,0,0,0,0,0
h1_C2,0,0,1,0,0,0,0,0
h1_C3,0,0,1,0,0,0,0,0
h1_X,0,0,0,1,0,0,0,0
h1_Y,0,0,0,1,0,0,0,0
h1_Z,0,0,0,1,0,0,0,0
h2_C1,0,0,0,0,1,0,0,0
h2_C2,0,0,0,0,1,0,0,0
h2_C3,0,0,0,0,1,0,0,0
h2_X,0,0,0,0,0,1,0,0
h2_Y,0,0,0,0,0,1,0,0
h2_Z,0,0,0,0,0,1,0,0
h4_C1,0,0,0,0,0,0,1,0
h4_C2,0,0,0,0,0,0,1,0
h4_C3,0,0,0,0,0,0,1,0
h4_X,0,0,0,0,0,0,0,1
h4_Y,0,0,0,0,0,0,0,1
h4_Z,0,0,0,0,0,0,0,1
