Gene,cluster,intersection_group,Gene_Function
pdam_00000064,15,Wounded 2h,v1g174619: MAU2 chromatid cohesion factor homolog (Nematostella vectensis)
pdam_00000163,15,Wounded 2h,Pias1: E3 SUMO-protein ligase PIAS1 (Mus musculus)
pdam_00000410,15,Wounded 2h,KCTD10: BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3 (Homo sapiens)
pdam_00000413,22,Wounded 4h,PIPOX: Peroxisomal sarcosine oxidase (Homo sapiens)
pdam_00000529,21,Wounded 1h,ttc34: Tetratricopeptide repeat protein 34 (Xenopus laevis)
pdam_00000555,22,Wounded 4h,rhot1a: Mitochondrial Rho GTPase 1-A (Danio rerio)
pdam_00000646,24,Wounded 2h,phf10: PHD finger protein 10 (Xenopus laevis)
pdam_00000679,22,Wounded 4h,ENTPD5: Ectonucleoside triphosphate diphosphohydrolase 5 (Gallus gallus)
pdam_00000728,24,Wounded 2h,unknown function
pdam_00000926,22,Wounded 4h,MGAT4C: Alpha-1%2C3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase C (Gallus gallus)
pdam_00000980,22,Wounded 4h,unknown function
pdam_00001052,22,Wounded 2h and Wounded 4h,unknown function
pdam_00001156,22,Wounded 4h,Cubn: Cubilin (Mus musculus)
pdam_00001159,21,Wounded 4h,Gaa: Lysosomal alpha-glucosidase (Mus musculus)
pdam_00001191,21,Wounded 4h,DSTYK: Dual serine/threonine and tyrosine protein kinase (Strongylocentrotus purpuratus)
pdam_00001252,15,Wounded 2h,unknown function
pdam_00001304,15,Wounded 2h,CAB39: Calcium-binding protein 39 (Homo sapiens)
pdam_00001322,22,Wounded 4h,LSM1: U6 snRNA-associated Sm-like protein LSm1 (Bos taurus)
pdam_00001390,22,Wounded 4h,v1g226489: Ragulator complex protein LAMTOR5 homolog (Nematostella vectensis)
pdam_00001405,15,Wounded 2h,unknown function
pdam_00001412,22,Wounded 4h,SULT1B1: Sulfotransferase family cytosolic 1B member 1 (Homo sapiens)
pdam_00001428,24,Wounded 2h,BTN1: Protein BTN1 (Yarrowia lipolytica (strain CLIB 122 / E 150))
pdam_00001456,22,Wounded 4h,Manf: Mesencephalic astrocyte-derived neurotrophic factor homolog (Drosophila grimshawi)
pdam_00001557,21,Wounded 4h,unknown function
pdam_00001610,24,Wounded 2h,UTP14A: U3 small nucleolar RNA-associated protein 14 homolog A (Bos taurus)
pdam_00001657,21,Wounded 4h,LARS: Leucine--tRNA ligase%2C cytoplasmic (Homo sapiens)
pdam_00001678,21,Wounded 4h,Srebf1: Sterol regulatory element-binding protein 1 (Mus musculus)
pdam_00001687,22,Wounded 4h,FGF7: Fibroblast growth factor 7 (Pongo abelii)
pdam_00001777,22,Wounded 4h,C7orf43: Uncharacterized protein C7orf43 (Homo sapiens)
pdam_00001867,22,Wounded 4h,Taar9: Trace amine-associated receptor 9 (Rattus norvegicus)
pdam_00001876,24,Wounded 2h,unknown function
pdam_00001911,24,Wounded 2h,unknown function
pdam_00002022,21,Wounded 4h,Ectin (Fragment) (Acropora millepora)
pdam_00002081,24,Wounded 2h,NGR_a03790: Uncharacterized protein y4fB (Sinorhizobium fredii (strain NBRC 101917 / NGR234))
pdam_00002117,15,Wounded 2h,Bnip1: Vesicle transport protein SEC20 (Mus musculus)
pdam_00002138,15,Wounded 2h,KLKB1: Plasma kallikrein (Homo sapiens)
pdam_00002139,21,Wounded 4h,unknown function
pdam_00002162,21,Wounded 4h,Tcerg1: Transcription elongation regulator 1 (Mus musculus)
pdam_00002213,22,Wounded 4h,unknown function
pdam_00002219,21,Wounded 4h,Col1a2: Collagen alpha-2(I) chain (Rattus norvegicus)
pdam_00002262,22,Wounded 4h,unknown function
