"Intersection","Gene","Gene_Function"
"Wounded_0h vs Control_0h","pdam_00008890","aceA: Isocitrate lyase (Bacillus halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125))"
"Wounded_1h vs Control_1h","pdam_00000218","Acidic skeletal organic matrix protein (Acropora millepora)"
"Wounded_2h vs Control_2h","pdam_00001132","Mucin-like protein (Fragment) (Acropora millepora)"
"Wounded_4h vs Control_4h","pdam_00009262","Adam26a: Disintegrin and metalloproteinase domain-containing protein 26A (Mus musculus)"
"Wounded_4h vs Control_4h","pdam_00007444","Dennd5b: DENN domain-containing protein 5B (Mus musculus)"
"Wounded_4h vs Control_4h","pdam_00023245","unknown function"
"Wounded_4h vs Control_4h","pdam_00003702","Pigl: N-acetylglucosaminyl-phosphatidylinositol de-N-acetylase (Rattus norvegicus)"
"Wounded_4h vs Control_4h","pdam_00003765","Spon2: Spondin-2 (Rattus norvegicus)"
"Wounded_4h vs Control_4h","pdam_00015412","mgm101: Mitochondrial genome maintenance protein mgm101 homolog (Dictyostelium discoideum)"
"Wounded_4h vs Control_4h","pdam_00000346","PXDN: Peroxidasin homolog (Homo sapiens)"
"Wounded_4h vs Control_4h","pdam_00012672","Arl5b: ADP-ribosylation factor-like protein 5B (Mus musculus)"
"Wounded_4h vs Control_4h","pdam_00013889","unknown function"
"Wounded_4h vs Control_4h","pdam_00013382","RpL36: 60S ribosomal protein L36 (Ixodes scapularis)"
"Wounded_4h vs Control_4h","pdam_00003430","PAFAH1B2: Platelet-activating factor acetylhydrolase IB subunit beta (Pongo abelii)"
"Wounded_4h vs Control_4h","pdam_00003477","GPC1: Glypican-1 (Gallus gallus)"
"Wounded_4h vs Control_4h","pdam_00000771","Rpl17: 60S ribosomal protein L17 (Rattus norvegicus)"
"Wounded_4h vs Control_4h","pdam_00004318","COMMD5: COMM domain-containing protein 5 (Homo sapiens)"
"Wounded_4h vs Control_4h","pdam_00021365","rpl24: 60S ribosomal protein L24 (Gillichthys mirabilis)"
"Wounded_4h vs Control_4h","pdam_00018517","unknown function"
"Wounded_4h vs Control_4h","pdam_00018518","unknown function"
"Wounded_4h vs Control_4h","pdam_00000145","unknown function"
"Wounded_4h vs Control_4h","pdam_00005383","unknown function"
"Wounded_4h vs Control_4h","pdam_00007409","unknown function"
"Wounded_4h vs Control_4h","pdam_00014651","unknown function"
"Wounded_4h vs Control_4h","pdam_00015181","H-RAS: GTPase HRas (Murine sarcoma virus NS.C58)"
"Wounded_4h vs Control_4h","pdam_00011819","RINT1: RAD50-interacting protein 1 (Homo sapiens)"
"Wounded_4h vs Control_4h","pdam_00009107","slc38a7: Putative sodium-coupled neutral amino acid transporter 7 (Danio rerio)"
"Wounded_4h vs Control_4h","pdam_00013327","chmp1b: Charged multivesicular body protein 1b (Danio rerio)"
"Wounded_4h vs Control_4h","pdam_00008222","unknown function"
"Wounded_4h vs Control_4h","pdam_00008229","unknown function"
"Wounded_4h vs Control_4h","pdam_00022994","unknown function"
"Wounded_4h vs Control_4h","pdam_00008739","asic1a: Acid-sensing ion channel 1A (Danio rerio)"
"Wounded_4h vs Control_4h","pdam_00001888","Trpc4: Short transient receptor potential channel 4 (Rattus norvegicus)"
"Wounded_4h vs Control_4h","pdam_00020091","unknown function"
"Wounded_4h vs Control_4h","pdam_00008903","VKORC1L1: Vitamin K epoxide reductase complex subunit 1-like protein 1 (Homo sapiens)"
"Wounded_4h vs Control_4h","pdam_00007559","G-protein coupled receptor GRL101 (Lymnaea stagnalis)"
"Wounded_4h vs Control_4h","pdam_00007177","RPL26: 60S ribosomal protein L26 (Littorina littorea)"
"Wounded_4h vs Control_4h","pdam_00012802","Hephaestin-like protein (Acropora millepora)"
"Wounded_4h vs Control_4h","pdam_00022296","Tor1b: Torsin-1B (Mus musculus)"
"Wounded_4h vs Control_4h","pdam_00016757","fam214a: Protein FAM214A (Xenopus tropicalis)"
"Wounded_4h vs Control_4h","pdam_00001465","Moxd1: DBH-like monooxygenase protein 1 (Mus musculus)"
"Wounded_4h vs Control_4h","pdam_00005279","Carbamoyl-phosphate synthase [ammonia]%2C mitochondrial (Lithobates catesbeiana)"
"Wounded_4h vs Control_4h","pdam_00025016","unknown function"
"Wounded_4h vs Control_4h","pdam_00003081","unknown function"
"Wounded_4h vs Control_4h","pdam_00006250","ZDHHC16: Probable palmitoyltransferase ZDHHC16 (Macaca fascicularis)"
"Wounded_4h vs Control_4h","pdam_00006248","unknown function"
